Number,Code Name,Description,Citations,URLs
31,Bioelectric code,The Bioelectric Code,"Tseng, A. and M. Levin (2013). “Cracking the bioelectric code: Probing endogenous ionic controls of pattern formation.” Commun Integr Biol 6(1): e22595. Levin, M. and C. J. Martyniuk (2018). “The bioelectric code: An ancient computational medium for dynamic control of growth and form.” Biosystems 164: 76-93. Silver, B. B. and C. M. Nelson (2018). “The Bioelectric Code: Reprogramming Cancer and Aging From the Interface of Mechanical and Chemical Microenvironments.” Front Cell Dev Biol 6: 21.","[""https://www.frontiersin.org/articles/10.3389/fcell.2018.00021/full"", ""https://www.sciencedirect.com/science/article/abs/pii/S0303264717302848"", ""https://www.tandfonline.com/doi/abs/10.4161/cib.22595""]"
32,Bioremediation code,The Bioremediation Codes,"Fu, Y., Zhou, X., Shi, J., & Zhuang, H. (2026). Bacterial-algae biofilm formation deciphering phenolic wastewater degradation code: Revealing microbial community succession and tripartite synergistic networks. Journal of Water Process Engineering, 86, 109967.","[""https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cbic.201402071"", ""https://doi.org/10.1016/j.jwpe.2026.109967""]"
33,Biosysnthetic code,The Biosynthetic Code,"Xu, Z., M. Baunach, L. Ding, H. Peng, J. Franke and C. Hertweck (2014). “Biosynthetic code for divergolide assembly in a bacterial mangrove endophyte.” Chembiochem 15(9): 1274-1279.","[""https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cbic.201402071"", ""https://doi.org/10.1007/s00246-009-9608-x""]"
34,bHLH code,The bHLH Codes,"Conway, S. J., Firulli, B., & Firulli, A. B. (2010). A bHLH Code for Cardiac Morphogenesis. Pediatric Cardiology, 31(3), 318-324. Sallee, M. D., H. E. Littleford and I. Greenwald (2017). “A bHLH Code for Sexually Dimorphic Form and Function of the C. elegans Somatic Gonad.” Curr Biol 27(12): 1853-1860.e1855. Borba, A. R., Serra, T. S., Górska, A., Gouveia, P., Cordeiro, A. M., Reyna-Llorens, I., . . . Saibo, N. J. M. (2018). Synergistic Binding of bHLH Transcription Factors to the Promoter of the Maize NADP-ME Gene Used in C4 Photosynthesis Is Based on an Ancient Code Found in the Ancestral C3 State. Mol Biol Evol, 35(7), 1690-1705. Puig-Barbe, A., Dettmann, S., Nirello, V. D., Moor, H., Azami, S., Edgar, B. A., . . . de Navascués, J. (2025). A bHLH interaction code controls bipotential differentiation and self-renewal in the Drosophila gut. Cell Rep, 44(3).","[""https://doi.org/10.1007/s00246-009-9608-x"", ""https://doi.org/10.1016/j.celrep.2025.115398"", ""https://doi.org/10.1093/molbev/msy060"", ""https://www.cell.com/current-biology/fulltext/S0960-9822(17)30625-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982217306255%3Fshowall%3Dtrue"", ""https://www.mdpi.com/1999-4923/17/9/1169""]"
35,Blood-Brain Barrier code,The Blood-Brain Barrier Code,"Nájera-Maldonado, L., Parra-González, M., Peralta-Cuevas, E., Gutierrez-Onofre, A. J., Garcia-Atutxa, I., & Villanueva-Flores, F. (2025). Cracking the Blood–Brain Barrier Code: Rational Nanomaterial Design for Next-Generation Neurological Therapies. Pharmaceutics, 17(9), 1169.","[""https://www.mdpi.com/1999-4923/17/9/1169"", ""https://www.sciencedirect.com/science/article/abs/pii/S0301468111612711""]"
36,Body plan code,The (Epigenetic) Body Plan Code,"Elder D (1979) An epigenetic code. Differentiation, 14, 119-122.","[""https://linkinghub.elsevier.com/retrieve/pii/S0022-510X(21)00769-3"", ""https://www.sciencedirect.com/science/article/abs/pii/S0301468111612711""]"
37,Brain code,The Universal Brain Code,"Rosenberg, R. N. (2021). “The universal brain code a genetic mechanism for memory.” J Neurol Sci 429: 118073.","[""https://doi.org/10.1016/j.immuni.2025.03.006"", ""https://linkinghub.elsevier.com/retrieve/pii/S0022-510X(21)00769-3""]"
38,Brain immune code,The Brain Immune Code,"Kim, M. W., & Kipnis, J. (2025). Glymphatics and meningeal lymphatics unlock the brain-immune code. Immunity, 58(5), 1040-1051.","[""https://doi.org/10.1016/j.immuni.2025.03.006"", ""https://www.sciencedirect.com/science/article/abs/pii/S0736574800000307""]"
39,Cadherin code,The Cadherin Neuronal Code SEE also The Synaptic / Adhesive Code,"Ranscht, B. (2000). Cadherins: molecular codes for axon guidance and synapse formation. International Journal of Developmental Neuroscience, 18(7), 643-651. Hertel, N., Krishna, K., Nuernberger, M., & Redies, C. (2008). A cadherin-based code for the divisions of the mouse basal ganglia. Journal of Comparative Neurology, 508(4), 511-528.","[""https://doi.org/10.1002/cne.21696"", ""https://www.sciencedirect.com/science/article/abs/pii/S0736574800000307""]"
40,Calcium code,The Calcium Code,"Teruel, M. N., Chen, W., Persechini, A., & Meyer, T. (2000). Differential codes for free Ca2+ calmodulin signals in nucleus and cytosol. Current Biology, 10(2), 86-94. Thomine, S. (2001). “Cracking the calcium code.” Trends Plant Sci 6(11): 501. Allen, G. J. and J. I. Schroeder (2001). “Combining genetics and cell biology to crack the code of plant cell calcium signaling.” Sci STKE 2001(102): re13. Mauro, T. (2003). ""'The discovery channel': CRAC'king the code of calcium influx."" J Invest Dermatol 121(1): Ix-x. Parekh, A. B. (2006). ""Cell biology: cracking the calcium entry code."" Nature 441(7090): 163-165. DeFalco, T. A., K. W. Bender and W. A. Snedden (2009). “Breaking the code: Ca2+ sensors in plant signalling.” Biochem J 425(1): 27-40. Haiech, J. and M. Moreau (2011). “The calcium signal: a universal carrier to code, decode and transduce information.” Biochimie 93(12): v. Covelo, A., A. Badoual and A. Denizot (2022). ""Reinforcing Interdisciplinary Collaborations to Unravel the Astrocyte ""Calcium Code""."" J Mol Neurosci 72(7): 1443-1455.","[""https://doi.org/10.1016/S0960-9822(00)00295-5"", ""https://link.springer.com/article/10.1007/s12031-022-02006-w"", ""https://linkinghub.elsevier.com/retrieve/pii/S0022-202X(15)30336-5"", ""https://linkinghub.elsevier.com/retrieve/pii/S0300-9084(11)00406-8"", ""https://portlandpress.com/biochemj/article-abstract/425/1/27/45410/Breaking-the-code-Ca2-sensors-in-plant-signalling"", ""https://www.cell.com/trends/plant-science/fulltext/S1360-1385(01)02049-0"", ""https://www.nature.com/articles/441163a"", ""https://www.science.org/doi/10.1126/stke.2001.102.re13""]"
